Year,Firm,ESG controversy score,Environment controversy score,Social controvery score,Governance controversy score,Score - Emission Reduction/Biodiversity Controversies (Inactive),Score - Emission Reduction/Spill/Pollution Controversies (Inactive),Score - Product Innovation/Product Impact Controversies (Inactive),Score - Resource Reduction/Environment Impact Controversy (Inactive),Score - Client Loyalty/Anti-competition Controversy (Inactive),Score - Community/Bribery Corruption Fraud Controversies (Inactive),Score - Community/Critical Countries-Indigenous Controversy (Inactive),Score - Community/Public Health Controversies (Inactive),Score - Diversity and Opportunity/Diversity Controversies (Inactive),Score - Employment Quality/Wages Work Condition Controversy (Inactive),Score - Health & Safety/Health & Safety Controversies (Inactive),Score - Human Rights/Child Labor Controversies (Inactive),Score - Human Rights/Freedom of Association Controversies (Inactive),Score - Human Rights/Human Rights Controversies (Inactive),Score - Product Responsibility/Customer Controversies (Inactive),Score - Product Responsibility/Responsible Mrktg Controversy(Inactive),Score - Product Responsibility/Social Exclusion Controversy (Inactive),Score - Compensation Policy/Compensation Controversies (Inactive),Score - Shareholder Loyalty/Accounting Controversies (Inactive),Score - Shareholder Loyalty/Insider Dealings Controversies (Inactive),Score - Shareholder Rights/Shareholder Controversies (Inactive),mv,mc,tobin,roe,oia,ois,esg_score,esg_binaire,csr_com,csr_report,assets,roa,sg,lev,div,ind,country
2017,ORION B,66.87,54.665,54.02692308,52.285,52.99,59,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,54.08,50,51.63,52.54,52.06,52.91,4417.14,4369302,5.522,38.82,0.27689243,0.269131477,54.63,0,0,1,1054200,21.7,1.03,14.36,3.03,95,FI
2018,ORION B,67.04,53.14,54.97230769,53.725,51.39,54.86,51.04,55.27,60.98,64.61,51.91,53.15,54.61,56.14,53.89,51.04,51.31,51.47,59.09,56.44,50,52.71,53.86,53.12,55.21,3236.59,4260256,4.132,33.25,0.216800981,0.253196931,56.28,0,0,1,1141600,30.41,-9.87,13.27,4.99,95,FI
2013,ORKLA,63.81,54.495,55.48692308,52.14,53.21,59.21,52.18,53.38,58.41,63.56,52.57,54.63,54.38,57.26,56.77,51.05,51.82,52.71,59.23,58.94,50,52.57,52.18,53.21,50.6,49418.11,47980533,0.892,5.14,0.044622799,0.07032834,64.38,1,1,1,52081000,1.87,10.53,20.89,5.15,71,NO
2014,ORKLA,65.36,55.255,55.58538462,52.2175,53.67,61,52.59,53.76,59.29,63.28,52.85,53.76,54.12,57.27,56.58,51.97,51.97,52.37,60.06,59.09,50,52.66,52.52,52.85,50.84,48215.77,52024566,1.081,2.26,0.060964149,0.103010237,67.7,1,1,1,50013000,3.74,5.65,18.21,5.28,71,NO
2015,ORKLA,58.43,54.88,53.58307692,51.46,53.4,60.38,52.34,53.4,56.89,59.57,52.57,52.21,53.13,54.94,53.48,51.42,51.2,51.07,55.92,54.18,50,51.52,51.31,52.08,50.93,52118.28,71361146,1.16,5.34,0.066619903,0.108711368,80.69,1,1,1,54173000,6.77,,16.57,4.89,71,NO
2016,ORKLA,58.93,55.0975,53.7,51.92,53.13,59.54,52.16,55.56,58.44,61.12,52.32,52.76,52.76,54.47,53.5,50.7,50.7,51.4,56.85,53.08,50,51.48,52.16,52.48,51.56,71427,79585535,1.452,9.89,0.077438651,0.113830182,78.96,1,1,1,55502000,8.23,13.74,17.37,3.57,71,NO
2017,ORKLA,59.86,54.665,54.02692308,52.285,52.99,59,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,54.08,50,51.63,52.54,52.06,52.91,80291.69,88682539,1.591,12.82,0.086849798,0.11716084,82.68,1,1,1,53368000,16.11,4.78,9.62,3.17,71,NO
2018,ORKLA,9.47,53.14,41.02384615,53.725,51.39,54.86,51.04,55.27,0.02,0.38,51.91,53.15,54.61,0,53.89,51.04,51.31,51.47,59.09,56.44,50,52.71,53.86,53.12,55.21,88697.88,68007389,1.675,24.94,0.091032091,0.116977251,84.02,1,1,1,52476000,6.45,3.23,9.77,2.99,71,NO
2013,ORPEA,, , , ,,,,,,,,,,,,,,,,,,,,,,1775.43,2342847,0.727,7.99,0.03277638,0.110635964,,0,,,5427506,2.95,12.5,44.59,1.49,45,FR
2014,ORPEA,66.35,55.255,55.58538462,52.2175,53.67,61,52.59,53.76,59.29,63.28,52.85,53.76,54.12,57.27,56.58,51.97,51.97,52.37,60.06,59.09,50,52.66,52.52,52.85,50.84,2343.35,2881851,0.791,8.07,0.035765083,0.114863644,37.6,0,0,1,6258087,2.82,,47.95,1.42,45,FR
