location;date;cases;deaths;tests;vaccinations
Albania;12.08.2020;141.0;3.0;625.0;
Albania;13.08.2020;154.0;5.0;643.0;
Albania;14.08.2020;146.0;6.0;639.0;
Albania;15.08.2020;143.0;6.0;650.0;
Albania;16.08.2020;120.0;3.0;626.0;
Albania;17.08.2020;119.0;2.0;501.0;
Albania;18.08.2020;155.0;2.0;932.0;
Albania;19.08.2020;158.0;2.0;864.0;
Albania;20.08.2020;155.0;4.0;847.0;
Albania;21.08.2020;152.0;2.0;864.0;
Albania;22.08.2020;156.0;5.0;837.0;
Albania;23.08.2020;152.0;5.0;785.0;
Albania;24.08.2020;178.0;4.0;947.0;
Albania;25.08.2020;154.0;5.0;870.0;
Albania;26.08.2020;168.0;4.0;878.0;
Albania;27.08.2020;156.0;3.0;865.0;
Albania;28.08.2020;112.0;5.0;801.0;
Albania;29.08.2020;84.0;4.0;796.0;
Albania;30.08.2020;101.0;5.0;803.0;
Albania;31.08.2020;133.0;4.0;820.0;
Albania;01.09.2020;93.0;6.0;812.0;
Albania;02.09.2020;122.0;6.0;856.0;
Albania;03.09.2020;116.0;5.0;835.0;
Albania;04.09.2020;123.0;5.0;857.0;
Albania;05.09.2020;135.0;6.0;860.0;
Albania;06.09.2020;153.0;4.0;847.0;
Albania;07.09.2020;151.0;3.0;824.0;
Albania;08.09.2020;147.0;2.0;830.0;
Albania;09.09.2020;151.0;1.0;852.0;
Albania;10.09.2020;156.0;2.0;870.0;
Albania;11.09.2020;161.0;3.0;875.0;
Albania;12.09.2020;164.0;3.0;872.0;
Albania;13.09.2020;168.0;4.0;877.0;
Albania;14.09.2020;167.0;4.0;862.0;
Albania;15.09.2020;152.0;2.0;810.0;
Albania;16.09.2020;144.0;3.0;824.0;
Albania;17.09.2020;132.0;4.0;817.0;
Albania;18.09.2020;125.0;6.0;833.0;
Albania;19.09.2020;153.0;5.0;836.0;
Albania;20.09.2020;159.0;4.0;844.0;
Albania;21.09.2020;150.0;2.0;809.0;
Albania;22.09.2020;131.0;3.0;825.0;
Albania;23.09.2020;121.0;3.0;887.0;
Albania;24.09.2020;134.0;0.0;852.0;
Albania;25.09.2020;124.0;3.0;808.0;
Albania;26.09.2020;108.0;2.0;811.0;
Albania;27.09.2020;106.0;2.0;832.0;
Albania;28.09.2020;132.0;3.0;824.0;
Albania;29.09.2020;127.0;4.0;820.0;
Albania;30.09.2020;131.0;3.0;842.0;
