Rank;Title;Previous Rank;Revenues ($M);Revenue Change;Profits ($M);Profit Change;Assets ($M);Market Value ($M);Employees;CEO;CEO Title;Sector;Industry;Years on Fortune 500;City;State;Latitude;Longitude;CEO Gender;Revenues per Employee ($M);Profits per Employee ($M);Change in Rank
379;Hershey;369;7515;1.00%;783;8.70%;5554;20774;16135;Michele G. Buck;President, Chief Executive Officer &  Director;Food, Beverages &  Tobacco;Food Consumer Products;24;Hershey;PA;40.2859239;-76.6502468;Female;0.465757669662225;0.04852804462348931;-10
380;PPL;365;7447;-0.90%;1128;-40.70%;41479;19635;12512;William H. Spence;Chairman, President &  Chief Executive Officer;Energy;Utilities: Gas and Electric;24;Allentown;PA;40.6022939;-75.4714098;Male;0.5951886189258312;0.09015345268542199;-15
381;Huntington Ingalls Industries;380;7441;5.30%;479;-16.40%;6374;11539;38000;C. Michael Petters;President, Chief Executive Officer &  Director;Aerospace &  Defense;Aerospace and Defense;6;Newport News;VA;37.0870821;-76.4730122;Male;0.19581578947368422;0.012605263157894737;-1
382;Mosaic;377;7409;3.40%;-107.2;-136.00%;18633;9358;8500;James C. O'Rourke;President, Chief Executive Officer &  Director;Chemicals;Chemicals;13;Plymouth;MN;45.0105194;-93.4555093;Male;0.8716470588235294;-0.012611764705882354;-5
383;J.M. Smucker;346;7392;-5.40%;592.3;-14.00%;15640;14087;7140;Mark T. Smucker;President, Chief Executive Officer &  Director;Food, Beverages &  Tobacco;Food Consumer Products;8;Orrville;OH;40.8436663;-81.7640212;Male;1.035294117647059;0.08295518207282912;-37
384;Delek US Holdings;480;7350;35.70%;288.8;-;5935;3416;3941;Ezra Uzi Yemin;Chairman, President &  Chief Executive Officer;Energy;Petroleum Refining;4;Brentwood;TN;36.0331164;-86.7827772;Male;1.8650088809946714;0.07328089317432124;96
385;Newmont Mining;328;7348;-12.30%;-98;-;20563;20853;12569;Gary J. Goldberg;President, Chief Executive Officer &  Director;Energy;Mining, Crude-Oil Production;15;Greenwood Village;CO;39.6172101;-104.9508141;Male;0.5846129365900231;-0.0077969607765136445;-57
386;Constellation Brands;408;7332;12.00%;1535.1;45.50%;18602;44379;8700;Robert S. Sands;Chairman &  Chief Executive Officer;Food, Beverages &  Tobacco;Beverages;6;Victor;NY;42.9825633;-77.4088794;Male;0.8427586206896551;0.17644827586206896;22
387;Ryder System;394;7330;8.00%;790.6;201.20%;11452;3867;36100;Robert E. Sanchez;Chairman, President &  Chief Executive Officer;Transportation;Trucking, Truck Leasing;24;Miami;FL;25.7616798;-80.1917902;Male;0.20304709141274238;0.02190027700831025;7
388;National Oilwell Varco;375;7304;0.70%;-237;-;20206;13993;31605;Clay C. Williams;Chairman, President &  Chief Executive Officer;Energy;Oil and Gas Equipment, Services;13;Houston;TX;29.7604267;-95.3698028;Male;0.23110267362759057;-0.0074988134788799244;-13
389;Adobe Systems;443;7302;24.70%;1694;44.90%;14536;106413;17973;Shantanu Narayen;Chairman, President &  Chief Executive Officer;Technology;Computer Software;2;San Jose;CA;37.3382082;-121.8863286;Male;0.40627608078784844;0.09425248984587993;54
390;LifePoint Health;374;7263;-0.10%;102.4;-16.00%;6286;1832;42000;William F. Carpenter III;Chairman &  Chief Executive Officer;Health Care;Health Care: Medical Facilities;4;Brentwood;TN;36.0331164;-86.7827772;Male;0.17292857142857143;0.0024380952380952383;-16
391;Tractor Supply;396;7256;7.00%;422.6;-3.30%;2869;7807;21000;Gregory A. Sandfort;Chairman &  Chief Executive Officer;Retailing;Specialty Retailers: Other;5;Brentwood;TN;36.0331164;-86.7827772;Male;0.3455238095238095;0.020123809523809526;5
392;Thor Industries;540;7247;58.20%;374.3;45.90%;2558;6069;17800;Robert W. Martin;President, Chief Executive Officer &  Director;Motor Vehicles &  Parts;Motor Vehicles and Parts;1;Elkhart;IN;41.6819935;-85.9766671;Male;0.40713483146067414;0.02102808988764045;148
393;Dana;447;7209;23.70%;111;-82.70%;5644;3741;30100;James K. Kamsickas;President, Chief Executive Officer &  Director;Motor Vehicles &  Parts;Motor Vehicles and Parts;24;Maumee;OH;41.5628294;-83.6538244;Male;0.2395016611295681;0.003687707641196013;54
394;Weyerhaeuser;341;7196;-8.90%;582;-43.30%;18059;26463;9300;Doyle R. Simons;President, Chief Executive Officer &  Director;Materials;Forest and Paper Products;24;Seattle;WA;47.6062095;-122.3320708;Male;0.7737634408602151;0.06258064516129032;-53
395;J.B. Hunt Transport Services;407;7190;9.70%;686.3;58.80%;4465;12858;24681;John N. Roberts III;President, Chief Executive Officer &  Director;Transportation;Trucking, Truck Leasing;6;Lowell;AR;36.2553543;-94.1307587;Male;0.29131720756857504;0.027806814958875246;12
396;Darden Restaurants;385;7170;3.40%;479.1;27.80%;5504;10531;178729;Eugene I. Lee Jr.;President, Chief Executive Officer &  Director;Hotels, Restaurants &  Leisure;Food Services;22;Orlando;FL;28.5383355;-81.3792365;Male;0.0401166011111795;0.002680594643286764;-11
397;Yum China Holdings;399;7144;5.80%;403;-19.70%;4263;16009;450000;Joey Wat;Chairman &  Chief Executive Officer;Hotels, Restaurants &  Leisure;Food Services;2;Plano;TX;33.0198431;-96.6988856;Female;0.015875555555555556;8.955555555555556e-4;2
398;Blackstone Group;503;7119;38.90%;1470.8;41.50%;34429;21058;2360;Stephen A. Schwarzman;Chairman &  Chief Executive Officer;Financials;Diversified Financials;3;New York;NY;40.7127753;-74.0059728;Male;3.0165254237288135;0.6232203389830508;105
399;Berry Global Group;413;7095;9.30%;340;44.10%;8476;7191;23000;Thomas E. Salmon;Chairman &  Chief Executive Officer;Materials;Packaging, Containers;2;Evansville;IN;37.9715592;-87.5710898;Male;0.3084782608695652;0.014782608695652174;14
400;Builders FirstSource;421;7034;10.50%;38.8;-73.10%;3006;2264;15000;M. Chad Crow;President, Chief Executive Officer &  Director;Materials;Building Materials, Glass;2;Dallas;TX;32.7766642;-96.7969879;Male;0.4689333333333333;0.0025866666666666664;21
401;Activision Blizzard;406;7017;6.20%;273;-71.70%;18668;51177;9800;Robert A. Kotick;Chairman &  Chief Executive Officer;Technology;Entertainment;2;Santa Monica;CA;34.0194543;-118.4911912;Male;0.7160204081632653;0.027857142857142858;5
402;JetBlue Airways;403;7015;5.80%;1147;51.10%;9781;6540;17424;Robin Hayes;President, Chief Executive Officer &  Director;Transportation;Airlines;6;New York;NY;40.744679;-73.9485424;Male;0.40260560146923785;0.0658287419651056;1
403;Amphenol;424;7011;11.50%;650.5;-21.00%;10004;26311;70000;R. Adam Norwitt;President, Chief Executive Officer &  Director;Technology;Network and Other Communications Equipment;4;Wallingford;CT;41.4570108;-72.8230736;Male;0.10015714285714286;0.009292857142857143;21
404;A-Mark Precious Metals;395;6990;3.00%;07. Jan;-23.60%;479;86;126;Gregory N. Roberts;Chairman &  Chief Executive Officer;Materials;Miscellaneous;4;El Segundo;CA;33.9191799;-118.4164652;Male;55.476190476190474;0.05634920634920634;-9
405;Spirit AeroSystems Holdings;393;6983;2.80%;354.9;-24.40%;5268;9595;15500;Thomas C. Gentile III;President, Chief Executive Officer &  Director;Aerospace &  Defense;Aerospace and Defense;4;Wichita;KS;37.6871761;-97.330053;Male;0.4505161290322581;0.022896774193548387;-12
406;R.R. Donnelley & Sons;388;6940;0.60%;-34.4;-;3905;612;42700;Daniel L. Knotts;President, Chief Executive Officer &  Director;Media;Publishing, Printing;24;Chicago;IL;41.8781136;-87.6297982;Male;0.16252927400468384;-8.056206088992974e-4;-18
407;Harris;363;6939;-7.80%;553;70.70%;10090;19149;17000;William M. Brown;Chairman, President &  Chief Executive Officer;Aerospace &  Defense;Aerospace and Defense;14;Melbourne;FL;28.0836269;-80.6081089;Male;0.4081764705882353;0.03252941176470588;-44
408;Expeditors Intl. of Washington;429;6921;13.50%;489.3;13.60%;3117;11087;16500;Jeffrey S. Musser;President, Chief Executive Officer &  Director;Transportation;Transportation and Logistics;11;Seattle;WA;47.6062095;-122.3320708;Male;0.41945454545454547;0.029654545454545454;21
