Title,Year,Genres,Duration,Rating,MPA,Votes
99. Draft Day,2014,"['Football', 'Drama', 'Sport']",1h 50m,6.8,PG-13,69K
100. The Best of Me,2014,"['Teen Romance', 'Tragedy', 'Tragic Romance', 'Drama', 'Romance']",1h 58m,6.7,PG-13,79K
101. The Woman in Black 2: Angel of Death,2014,"['Drama', 'Horror', 'Thriller']",1h 38m,4.8,PG-13,30K
102. A Walk Among the Tombstones,2014,"['Psychological Thriller', 'Whodunnit', 'Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",1h 54m,6.5,R,129K
103. That Awkward Moment,2014,"['Comedy', 'Romance']",1h 34m,6.1,R,108K
104. Ex Machina,2014,"['Artificial Intelligence', 'Psychological Thriller', 'Drama', 'Sci-Fi', 'Thriller']",1h 48m,7.7,R,609K
105. Boyhood,2014,"['Coming-of-Age', 'Drama']",2h 45m,7.9,R,373K
106. Top Five,2014,"['Romantic Comedy', 'Comedy', 'Romance']",1h 42m,6.4,R,28K
107. The November Man,2014,"['Spy', 'Action', 'Adventure', 'Crime', 'Mystery', 'Thriller']",1h 48m,6.3,R,72K
108. Endless Love,2014,"['Teen Drama', 'Drama', 'Mystery', 'Romance']",1h 44m,6.2,PG-13,48K
109. Pompeii,2014,"['Disaster', 'Epic', 'Romantic Epic', 'Sword & Sandal', 'Action', 'Adventure', 'Drama', 'History', 'Romance']",1h 45m,5.5,PG-13,119K
110. Transcendence,2014,"['Artificial Intelligence', 'Drama', 'Sci-Fi', 'Thriller']",1h 59m,6.2,PG-13,241K
111. Black or White,2014,['Drama'],2h 1m,6.6,PG-13,14K
"112. As Above, So Below",2014,"['Found Footage Horror', 'Horror', 'Mystery', 'Thriller']",1h 33m,6.3,R,120K
113. Brick Mansions,2014,"['Dark Comedy', 'Action', 'Crime', 'Thriller']",1h 30m,5.6,PG-13,45K
"114. I, Frankenstein",2014,"['Action', 'Fantasy', 'Sci-Fi']",1h 32m,5.1,PG-13,85K
115. The Legend of Hercules,2014,"['Sword & Sandal', 'Action', 'Adventure', 'Fantasy']",1h 39m,4.3,PG-13,57K
116. Still Alice,2014,['Drama'],1h 41m,7.5,PG-13,146K
117. Bears,2014,"['Nature Documentary', 'Documentary', 'Family']",1h 18m,7.3,G,7.2K
118. Addicted,2014,"['Erotic Thriller', 'Drama', 'Romance', 'Thriller']",1h 46m,5.0,R,13K
119. A Haunted House 2,2014,"['Parody', 'Comedy', 'Fantasy', 'Horror']",1h 26m,4.7,R,24K
120. A Most Wanted Man,2014,"['Spy', 'True Crime', 'Crime', 'Drama', 'Thriller']",2h 2m,6.7,R,82K
121. Seventh Son,2014,"['Dark Comedy', 'Dark Fantasy', 'Action', 'Adventure', 'Fantasy']",1h 42m,5.5,PG-13,82K
122. The Single Moms Club,2014,"['Comedy', 'Drama']",1h 51m,5.5,PG-13,7.2K
123. Devil's Due,2014,"['Body Horror', 'Found Footage Horror', 'Horror', 'Mystery']",1h 29m,4.2,R,18K
124. And So It Goes,2014,"['Comedy', 'Drama', 'Romance']",1h 34m,5.9,PG-13,16K
125. Step Up All In,2014,"['Drama', 'Music', 'Romance']",1h 52m,5.9,PG-13,37K
126. It Follows,2014,"['Psychological Horror', 'Supernatural Horror', 'Horror', 'Mystery', 'Thriller']",1h 40m,6.8,R,282K
127. Beyond the Lights,2014,"['Feel-Good Romance', 'Drama', 'Music', 'Romance']",1h 56m,6.8,PG-13,18K
