Total Comp,Top 20,Wide Industry,Company,CEO,City of Birth,State of Birth,Age,Undergrad,UG Degree,UG Date,AgeOfUnder,Graduate,Grad Degree,MBA?,MasterPhd?,G_date,AgeOfGradu,YearsFirm,YearsCEO,Salary,Bonus,other,St_gains,Comp for 5 yrs,Stock owned,Sales,Profits,Return over 5 yrs,Industry,Industry Code
807792,FALSE,ComputersComm,Tandem Computers,Mr. James G Treybig,Clarendon,TX,53,Rice U,BS,63,22,Stanford U,MBA,1,1,68,27,19,19,661810,136785,9197,,3788060,0.628,2023,-510.3,-4,Computerscommunications-major systems,16
800265,FALSE,Financial,FirstFed Michigan,Mr. C GeneHarling,Gainesville,FL,48,U of Florida,BBA,68,22,Wayne State U,MBA,1,1,69,23,15,4,410000,258546,,131719,2980170,0.268,735,41.4,20,Financial services-thrift institutions,1
800144,FALSE,ComputersComm,American Power Conve,Mr. Rodger B Dowdell Jr.,Providence,RI,45,Brown,BSE,71,22,U of Rhode Isla,MSEE,0,1,75,26,9,9,370000,400000,30144,,2810550,10.841,250,48.6,120,Computerscommunications-peripherals,16
800000,FALSE,Health,Upjohn,Mr. John L Zabriskie,Auburn,NY,54,Dartmouth,BS,61,21,U of Rochester,PhD,0,1,65,25,1,1,800000,,,,,0.021,3653,411.3,3,Health-drugs,3
800000,FALSE,Insurance,20th Century Industr,Mr. Neil H Ashley,Spokane,WA,71,,,,,U of Montana,JD,0,1,50,27,11,1,600000,200000,,,,0.00001,1104,108.6,19,Insurance-propertycasualty,4
800000,FALSE,Travel,Circus Circus Enterp,Mr. Clyde T Turner,Las Vegas,NV,56,U of Nevada Las,BS,60,22,,none,0,0,,,1,1,800000,,,,,0.003,955,116.2,22,Travel-hotelsrecreation,8
798255,FALSE,Financial,FirstFed Financial,Mr. William S Mortensen,Philadelphia,PA,61,USC,BS,54,21,,none,0,0,,,39,11,332800,,2629,462826,5962880,1.946,241,-2,2,Financial services-thrift institutions,1
796635,FALSE,Aerospacedefense,Grumman,Dr. Renso L Caporali,Batavia,NY,61,ClarksonU,BCE,54,21,Princeton,PhD,0,1,64,31,35,4,450000,310000,36635,,1880140,0.122,3225,58.8,30,Aerospacedefense,11
795000,FALSE,Utility,DPL,Mr. Peter H Forster,Germany,,51,U of Wisc Madis,BS,64,21,Brooklyn Law Sc,JD,0,1,72,29,21,9,496000,298000,1000,,4084400,0.02,1151,139,21,Electric utilities-north central,19
793214,FALSE,Financial,Hibernia,Mr. Stephen A Hansel,Long Branch,NJ,46,Wesleyan C,BA,69,21,U of Virginia,MBA,1,1,71,23,2,2,450000,303750,39464,,,0.108,367,48,-15,Financial services-regional banks,1
790262,FALSE,Retailing,Payless Cashways,Mr. DavidStanley,Kansas City,MO,58,Columbia,LLB,57,21,,none,0,0,,,14,12,600000,180000,10262,,3107920,0.091,2650,30.2,15,Retailing-home improvement,6
787841,FALSE,Travel,Delta Air Lines,Mr. Ronald W Allen,Atlanta,GA,52,Georgia Tech,BSI,64,22,,none,0,0,,,31,7,487500,,24716,275625,4998510,0.036,12295,-225.9,-4,Travel-airlines,8
785693,FALSE,Retailing,Hook-SupeRx,Mr. Philip E Beekman,Verona,NJ,63,Dartmouth,AB,53,22,,none,0,0,,,8,8,550000,,235693,,5987830,5.153,2304,-3.3,-11,Retailing-drugdiscount,6
785563,FALSE,Insurance,Horace Mann Educator,Mr. Paul J Kardos,Vandergrift,PA,57,Grove City C,BS,62,25,,none,0,0,,,17,12,363750,400000,21813,,3030040,1.751,708,77.2,15,Insurance-diversified,4
782500,FALSE,Health,Manor Care,Mr. StewartBainum Jr,Takoma Park,MD,48,Pacific Union C,BA,68,22,UCLA,MBA,1,1,70,24,22,7,499200,269568,13732,,3484180,2.933,1119,73,24,Health-health care services,3
780932,FALSE,Financial,Charter One Financia,Mr. Charles JohnKoch,Baltimore,MD,48,Lehigh U,BS,68,22,Loyola U,MBA,1,1,71,25,18,6,301629,278853,48947,151503,2584410,0.722,385,61.4,34,Financial services-regional banks,1
780250,FALSE,Financial,Ambac,Mr. Phillip B Lassiter,Kansas City,MO,50,NC State U,BS,64,20,,none,0,0,,,3,3,475000,262500,42750,,,0.051,328,179.4,13,Financial services-leasefinance,1
779955,FALSE,Retailing,Waban,Mr. Herbert J Zarkin,Haverhill,MA,55,,,,,,none,0,0,,,5,1,441135,237479,3491,97850,,0.145,3589,-18.7,1,Retailing-home improvement,6
779590,FALSE,Retailing,Service Merchandise,Mr. RaymondZimmerman,Memphis,TN,61,,,,,,none,0,0,,,34,21,750000,,29590,,5401440,5.138,3815,82.3,13,Retailing-home shopping,6
777372,FALSE,Utility,Carolina PowerLigh,Mr. Sherwood H Smith Jr,Jacksonville,FL,59,U of North Caro,AB,56,21,U of North Caro,JD,0,1,60,25,29,15,567000,150000,60372,,3117900,0.037,2895,346.5,14,Electric utilities-southeast,19
775403,FALSE,Utility,Northeast Utilities,Mr. Bernard M Fox,New York,NY,51,Manhattan C,BSE,63,20,Rensselaer,MSEE,0,1,64,21,30,1,478775,180780,115848,,,0.013,3629,198.3,14,Electric utilities-northeast,19
774120,FALSE,Entertainment,Multimedia,Mr. Walter E Bartlett,Marion,OH,66,Bowling Green S,BBA,49,21,,none,0,0,,,18,9,533676,236000,4444,,17363700,0.577,635,85.5,,Entertainmentinformation-broadcasting,17
773752,FALSE,Energy,Enserch,Mr. David W Biegler,San Antonio,TX,47,St Mary's U,BS,68,21,,none,0,0,,,26,1,525000,210000,38752,,,0.027,1902,59.2,-4,Energy-integrated gas,12
772155,FALSE,Financial,Washington Federal S,Mr. Guy C Pinkerton,Seattle,WA,59,U of Washington,BA,59,24,,none,0,0,,,29,2,228800,43800,28080,471475,,1.092,295,95.2,22,Financial services-thrift institutions,1
770956,FALSE,Utility,Ipalco Enterprises,Mr. John R Hodowal,Dayton,OH,49,Purdue U,BSI,66,21,Indiana U,JD,0,1,70,25,26,5,424459,209672,136825,,3661230,0.042,664,75.4,15,Electric utilities-north central,19
770721,FALSE,Food,Vons Cos,Mr. Roger E Stangeland,Chicago,IL,64,U of Illinois,BS,51,21,,none,0,0,,,34,10,700660,,70061,,4754890,2.157,5075,33,2,Food distributors-supermarketsconvenience,2
770244,FALSE,Utility,General Public Utili,Mr. James R Leva,Boonton,NJ,62,Fairleigh Dicki,BSE,60,28,Seton Hall C,JD,0,1,80,48,42,2,523750,189000,57494,,1769460,0.003,3596,295.7,15,Electric utilities-northeast,19
770034,FALSE,Financial,Dauphin Deposit,Mr. William J King,Philadelphia,PA,65,U of Pennsylvan,BBA,74,45,La Salle Univer,MBA,1,1,80,51,15,8,425000,193996,5695,145343,2851380,0.111,360,64.5,14,Financial services-regional banks,1
768648,FALSE,Financial,First Security,Mr. Spencer F Eccles,Ogden,UT,59,U of Utah,BS,56,21,Columbia,MA,0,1,59,24,35,12,467450,280404,20794,,3161600,2.718,812,114.1,24,Financial services-regional banks,1
766037,FALSE,Insurance,TIG Holdings,Mr. Jon W Rotenstreich,Birmingham,AL,50,U of Alabama,BS,64,20,,none,0,0,,,1,1,600000,150000,16037,,,0.366,1881,-128,,Insurance-propertycasualty,4
761066,FALSE,Financial,Collective Bancorp,Mr. Thomas H Hamilton,Egg Harbor City,NJ,63,Rutgers,BS,53,22,,none,0,0,,,39,32,292981,117649,25195,325241,3218140,3.756,250,57.1,34,Financial services-regional banks,1
760835,FALSE,Food,Winn-Dixie Stores,Mr. A DanoDavis,New Rochelle,NY,48,,,,,,none,0,0,,,26,12,353600,395200,12035,,3624450,2.453,11040,239.7,22,Food distributors-supermarketsconvenience,2
759057,FALSE,Health,St Jude Medical,Mr. Ronald A Matricaria,,,51,Mass C of Pharm,BS,66,23,,none,0,0,,,1,1,400000,358250,807,,,0.086,253,109.6,14,Health-medical supplies,3
756199,FALSE,Utility,PacifiCorp,Dr. Frederick W Buckman,Kalamazoo,MI,48,U of Michigan,BS,66,20,MIT,PhD,0,1,70,24,1,1,504116,252083,,,,0.014,3412,475.1,7,Electric utilities-western,19
755219,FALSE,Utility,CentralSouth West,Mr. E RBrooks,Slaton,TX,56,Texas Tech U,BSE,61,23,,none,0,0,,,33,3,549167,57265,148787,,2727180,0.027,3687,262,17,Electric utilities-south central,19
748443,FALSE,Construction,Foster Wheeler,Mr. Richard J Swift,Indianapolis,IN,49,US Military Aca,BS,66,21,Fairleigh Dicki,MBA,1,1,76,31,20,1,375000,151950,221493,,,0.011,2583,57.7,22,Construction-builders,0
747469,FALSE,ComputersComm,Digital Equipment,Mr. Robert B Palmer,Gorman,TX,53,Texas Tech U,BS,62,21,Texas Tech U,MS,0,1,65,24,9,2,738469,,9000,,,0.009,13637,-92.3,-21,Computerscommunications-major systems,16
741192,FALSE,Financial,Fourth Financial,Mr. Darrell G Knudson,Centerville,SD,56,,,,,,none,0,0,,,3,3,363838,300000,7770,69584,1810000,0.128,523,65.2,11,Financial services-regional banks,1
740335,FALSE,Health,Bindley Western Indu,Mr. William E Bindley,Terre Haute,IN,53,Purdue U,BS,61,20,,none,0,0,,,27,27,514400,165000,60935,,2955830,28.336,3426,9.6,9,Health-drugs,3
737980,FALSE,Capital goods,BriggsStratton,Mr. Frederick P Stratton,Milwaukee,WI,55,Yale,BS,61,22,Stanford U,MBA,1,1,63,24,21,17,476736,254577,6667,,2592670,2.683,1190,84,31,Capital goods-other industrial equipment,14
737574,FALSE,Utility,Dominion Resources,Mr. Thos E Capps,Wilmington,NC,58,U of North Caro,BA,58,22,U of North Caro,JD,0,1,65,29,10,4,534100,187066,16408,,2819640,0.035,4434,516.6,15,Electric utilities-southeast,19
737191,FALSE,Financial,Commerce Bancshares,Mr. David W Kemper,Kansas City,MO,43,Harvard,BA,72,21,Stanford U,MBA,1,1,76,25,16,8,467500,150000,7816,111875,4181430,1.291,582,86.9,18,Financial services-regional banks,1
731500,FALSE,Forest,Westvaco,Mr. John A Luke Jr,New York,NY,45,Lawrence U Wisc,BA,71,22,U of Penn-Whart,MBA,1,1,79,30,15,2,700000,,31500,,,0.076,2361,51.4,5,Forest products-paperlumber,9
730000,FALSE,Forest,Stone Container,Mr. Roger W Stone,Chicago,IL,59,U of Pennsylvan,BS,57,22,,none,0,0,,,37,15,730000,,,,6483360,1.897,5060,-319.2,-13,Forest products-packaging,9
728984,FALSE,Energy,Phillips Petroleum,Mr. Wayne W Allen,Fort Smith,AR,57,Oklahoma State,BSM,59,22,Oklahoma State,MSIE,0,1,69,32,33,1,448250,275235,5499,,,0.011,12309,245,7,Energy-other energy,12
728010,FALSE,Financial,Coast Savings Financ,Mr. RayMartin,Nogales,AZ,58,,,,,,none,0,0,,,35,10,500004,200000,28006,,3453880,0.114,576,17.2,-1,Financial services-thrift institutions,1
726396,FALSE,Health,Columbia/HCA Healthc,Mr. Richard L Scott,Kansas City,MO,41,U of Missouri,BBA,75,22,SMU,JD,0,1,78,25,7,7,371000,350000,5396,,1545760,1.891,10252,591,,Health-health care services,3
722653,FALSE,Financial,People's Bank,Mr. David E A Carson,England,,59,U of Michigan,BBA,55,20,,none,0,0,,,11,9,390000,263250,31153,38250,2437440,0.15,497,41.3,9,Financial services-thrift institutions,1
716365,FALSE,Financial,United Missouri Banc,Mr. R CrosbyKemper,Kansas City,MO,67,,,,,,none,0,0,,,44,24,578974,,80590,56801,3106150,15.114,415,41.1,12,Financial services-regional banks,1
715623,FALSE,Business,Harsco,Mr. Derek C Hathaway,England,NC,50,,,,,,none,0,0,,,28,1,270834,148282,160469,136038,,0.088,1422,80.8,17,Business-industrial services,10
714148,FALSE,Metals,Bethlehem Steel,Mr. Curtis H Barnette,St Albans,WV,59,West Virginia U,BA,56,21,Yale,JD,0,1,62,27,27,2,500000,,214148,,,0.069,4323,-266.3,-3,Metals-steel,5
713490,FALSE,Utility,New England Electric,Mr. John W Rowe,Dodgeville,WI,49,U of Wisc Madis,BS,67,22,U of Wisc Madis,JD,0,1,70,25,5,5,433908,268323,11259,,3309190,0.031,2234,190.2,17,Electric utilities-northeast,19
713398,FALSE,Utility,Cincinnati GasElec,Mr. Jackson H Randolph,Cincinnati,OH,63,U of Cincinnati,BBA,58,27,U of Cincinnati,MBA,1,1,68,37,35,8,425000,200000,88398,,2693200,0.025,1752,-8.7,16,Electric utilities-north central,19
710308,FALSE,Forest,Ball Corp,Mr. Delmont A Davis,Hillside,CO,58,U of Colorado,BS,59,23,,none,0,0,,,25,3,480000,96720,41088,92500,3159660,0.078,2441,-32.5,4,Forest products-packaging,9
705255,FALSE,Utility,American Electric Po,Dr. E LinnDraper Jr,Houston,TX,52,Rice U,BA,64,22,Cornell,PhD,0,1,70,28,2,1,538333,148742,18180,,,0.001,5269,353.8,11,Electric utilities-north central,19
703000,FALSE,Metals,Homestake Mining,Mr. Harry M Conger,Seattle,WA,63,Colo Sch Mines,EM,55,24,,none,0,0,,,19,15,465000,210000,28000,,3917890,0.126,704,52.5,11,Metals-nonferrous metals,5
698414,FALSE,ComputersComm,TelephoneData Syst,Mr. LeRoy T Carlson Jr,Chicago,IL,47,Harvard,BA,68,21,Harvard,MBA,1,1,71,24,20,8,316000,56250,15461,310703,1941930,2.032,591,33.9,2,Computerscommunications-telecommun,16
697279,FALSE,Financial,MGIC Investment,Mr. William H Lacy,Chicago,IL,49,U of Wisc Milwa,BBA,68,23,,none,0,0,,,23,7,450000,225000,22279,,4819860,0.566,404,127.3,25,Financial services-leasefinance,1
697228,FALSE,Energy,Oryx Energy,Mr. Robert P Hauptfuhrer,Philadelphia,PA,62,Princeton,BA,53,21,Harvard,MBA,1,1,57,25,37,6,633360,,63868,,7987980,0.071,1080,-93,-10,Energy-other energy,12
691994,FALSE,Financial,Summit Bancorp,Mr. Robert G Cox,Watertown,NY,53,,,,,,none,0,0,,,21,1,332833,135000,224161,,,0.448,304,42.4,4,Financial services-regional banks,1
691432,FALSE,Energy,Columbia Gas System,Mr. John H Croom,Fayetteville,NC,61,NC State U,BS,54,21,,none,0,0,,,40,10,652000,,39432,,3724260,0.069,3391,152.2,-3,Energy-integrated gas,12
687147,FALSE,Financial,US Bancorp,Mr. Gerry B Cameron,Grandview,WA,55,Portland State,BS,62,23,,none,0,0,,,38,1,248750,225000,213397,,,0.087,1966,257.9,19,Financial services-regional banks,1
686093,FALSE,Forest,Boise Cascade,Mr. John B Fery,Bellingham,WA,64,U of Washington,BA,53,23,Stanford U,MBA,1,1,55,25,37,22,619500,,66593,,3887900,0.268,3958,-77.1,-8,Forest products-paperlumber,9
678569,FALSE,Energy,NorAm Energy,Mr. T MiltonHonea Jr,Fulton,AR,61,U of Cal Berkel,BS,55,22,Harvard,MBA,1,1,58,25,10,1,346593,300000,31976,,,0.057,2950,39.9,-16,Energy-integrated gas,12
677260,FALSE,Financial,Washington Mutual Sa,Mr. Kerry K Killinger,Des Moines,IA,44,U of Iowa,BBA,70,20,U of Iowa,MBA,1,1,71,21,18,4,430000,230000,17260,,5286420,0.866,1180,175.3,22,Financial services-thrift institutions,1
675000,FALSE,Retailing,Ames Department Stor,Mr. PeterThorner,Brooklyn,NY,50,CUNY Brooklyn,BS,65,21,,none,0,0,,,4,1,450000,225000,,,,0.00001,2309,,141,Retailing-drugdiscount,6
674514,FALSE,Financial,Anchor Bancorp,Mr. James M Large Jr,Philadelphia,PA,62,Princeton,BSE,54,22,,none,0,0,,,5,5,452539,203875,18100,,2584550,0.222,531,53.1,23,Financial services-thrift institutions,1
672750,FALSE,ComputersComm,MFS Communications,Mr. James Q Crowe,Camp Pendleton,CA,44,Rensselaer,BSM,72,22,Pepperdine U,MBA,1,1,82,32,8,3,270250,175000,,227500,,0.00001,141,-15.8,8,Computerscommunications-telecommun,16
669135,FALSE,Utility,Public Service Enter,Mr. E JamesFerland,Boston,MA,52,U of Maine,BS,64,22,U of New Haven,MBA,1,1,76,34,8,8,622606,,36079,10450,4049470,0.014,5706,595.5,10,Electric utilities-northeast,19
668831,FALSE,Financial,First American Corp,Mr. Dennis C Bottorff,Clarksville,IN,49,Vanderbilt U,BE,66,21,Northwestern U,MBA,1,1,68,23,3,3,436000,218000,14831,,1265700,0.296,517,101.9,9,Financial services-regional banks,1
668397,FALSE,Retailing,Mercantile Stores,Mr. David L Nichols,Toledo,OH,51,U of Toledo,BS,90,47,,none,0,0,,,30,2,480000,160000,28397,,,0.014,2730,86.6,-1,Retailing-department stores,6
663111,FALSE,Financial,Franklin Resources,Mr. Charles B Johnson,Montclair,NJ,61,Yale,BA,54,21,,none,0,0,,,37,23,425570,216535,21006,,2747770,19.537,712,199.8,33,Financial services-leasefinance,1
659789,FALSE,Utility,CMS Energy,Mr. William T McCormick J,Washington,DC,49,Cornell,BS,66,21,MIT,PhD,0,1,69,24,9,9,625000,,34789,,4962850,0.131,3482,155,,Electric utilities-north central,19
659725,FALSE,Consumer,Arvin Industries,Mr. Byron O Pond,Royal Oak,MI,58,Wayne State U,BSB,61,25,,none,0,0,,,26,1,438269,112347,13301,95808,,0.036,1939,40.3,9,Consumer durables-automotive parts,18
655381,FALSE,Utility,Puget Sound PowerL,Mr. Richard R Sonstelie,Canada,,49,US Military Aca,BS,66,21,Harvard,MBA,1,1,74,29,20,2,320419,66000,204960,64002,1581200,0.011,1113,138.3,13,Electric utilities-western,19
652115,FALSE,Financial,St Paul Bancorp,Mr. Joseph C Scully,Detroit,MI,53,Loyola U,BS,62,21,Loyola U,MBA,1,1,72,31,31,12,323699,182375,146041,,3215080,0.442,289,41.4,18,Financial services-thrift institutions,1
650443,FALSE,Financial,First Bancorporation,Mr. Howard L Flood,Staten Island,NY,59,,,,,,none,0,0,,,31,9,365700,121095,127032,36616,2165770,0.162,332,55.2,16,Financial services-regional banks,1
649482,FALSE,Utility,Portland General,Mr. Ken L Harrison,Bakersfield,CA,51,Oregon State U,BS,64,21,Oregon State U,MS,0,1,66,23,19,5,415000,178472,56010,,2673650,0.034,947,89.1,3,Electric utilities-western,19
645880,FALSE,Utility,Detroit Edison,Mr. John E Lobbia,Chicago,IL,52,U of Detroit,BSE,64,22,,none,0,0,,,30,4,501250,124060,20570,,2432180,0.007,3555,521.9,15,Electric utilities-north central,19
639278,FALSE,Food,Ralston-Continental,Mr. Jay W Brown,,,48,Ohio State U,BS,66,20,Ohio State U,MA,0,1,68,22,13,10,250000,150000,40065,199213,4665490,0.068,1984,27.7,,Fooddrinktobacco-food processors,2
627048,FALSE,Financial,Premier Bancorp,Mr. G LeeGriffin,Leavenworth,KS,55,U of Texas Aust,BS,60,21,Louisiana State,MS,0,1,62,23,32,6,383750,234000,9298,,2221510,0.299,336,67.6,31,Financial services-regional banks,1
626433,FALSE,Financial,Zions Bancorporation,Mr. Harris H Simmons,Salt Lake City,UT,39,U of Utah,BA,77,22,Harvard,MBA,1,1,80,25,13,3,289531,170000,8152,158750,1749440,3.584,346,51.4,31,Financial services-regional banks,1
626377,FALSE,Utility,Baltimore GasElect,Mr. Christian H Poindexte,Evansville,IN,55,US Naval Acad,BS,60,21,Loyola U,MBA,1,1,75,36,27,1,465533,124000,36844,,,0.05,2669,309.9,11,Electric utilities-northeast,19
623683,FALSE,Utility,Niagara Mohawk Power,Mr. William E Davis,Schenevus,NY,52,US Naval Acad,BS,64,22,George Washingt,MSA,0,1,70,28,4,1,394045,40632,189006,,,0.001,3933,271.8,11,Electric utilities-northeast,19
620458,FALSE,ComputersComm,Conner Peripherals,Mr. Finis F Conner,Gadsden,AL,50,San Jose State,BS,69,25,,none,0,0,,,9,9,615632,,4826,,5422750,2.662,2152,-445.3,17,Computerscommunications-peripherals,16
619372,FALSE,Capital goods,National Service Ind,Mr. D RaymondRiddle,Oglethorpe,GA,60,Georgia Tech,BS,55,21,,none,0,0,,,1,1,500000,100000,19372,,,0.01,1843,77.3,5,Capital goods-electrical equipment,14
618926,FALSE,Transport,Federal Express,Mr. Frederick W Smith,Marks,MS,49,Yale,BA,66,21,,none,0,0,,,23,19,550368,,68558,,3354580,8.721,8253,179.5,8,Transport-shipping,7
617954,FALSE,Utility,Nipsco Industries,Mr. Gary L Neale,Lead,SD,54,U of Washington,BA,62,22,U of Washington,MBA,1,1,65,25,5,1,400000,206000,11954,,,0.05,1678,156.1,24,Electric utilities-north central,19
617101,FALSE,Utility,Duke Power,Mr. William H Grigg,Shelby,NC,61,Duke U,AB,54,21,Duke U,LLB,0,1,58,25,31,1,411500,,205601,,,0.017,4282,626.4,16,Electric utilities-southeast,19
617054,FALSE,Financial,California Federal B,Mr. Edward G Harshfield,New York,NY,57,Southeastern U,BBA,62,25,,none,0,0,,,1,1,475000,100000,42054,,,0.00001,1084,-145.5,-37,Financial services-thrift institutions,1
615841,FALSE,Financial,BBT Financial,Mr. John A Allison IV,Charlotte,NC,45,U of North Caro,BBA,71,22,Duke U,MBA,1,1,74,25,23,5,370388,142599,102854,,2700240,0.124,671,98.2,15,Financial services-regional banks,1
615715,FALSE,Retailing,Bradlees,Mr. Barry A Berman,Boston,MA,52,Northeastern U,BS,64,22,,none,0,0,,,27,2,500032,,115683,,,0.328,1881,13.5,24,Retailing-drugdiscount,6
613354,FALSE,Food,Loews,Mr. Laurence A Tisch,Brooklyn,NY,71,NYU,BS,42,19,U of Pennsylvan,MA,0,1,43,20,35,34,570296,,43058,,1873060,15.361,12582,594.1,1,Fooddrinktobacco-tobacco,0
611963,FALSE,Financial,First Empire State,Mr. Robert G Wilmers,New York,NY,60,Harvard,BA,56,22,,none,0,0,,,12,11,400000,200000,11963,,11969800,8.539,851,102,21,Financial services-regional banks,1
608262,FALSE,Financial,Magna Group,Mr. William S Badgley,Belleville,IL,64,Washington U,BS,60,30,,none,0,0,,,41,2,411600,148125,48537,,1628320,0.458,290,37.5,12,Financial services-regional banks,1
607289,FALSE,ComputersComm,Raychem,Mr. Robert J Saldich,New York,NY,60,Rice U,BS,56,22,Harvard,MBA,1,1,61,27,30,4,497289,110000,,,2858160,0.045,1394,9,4,Computerscommunications-major systems,16
605250,FALSE,Health,Perrigo,Mr. Michael J Jandernoa,Detroit,MI,44,U of Michigan,BA,73,23,,none,0,0,,,15,8,291100,300629,13521,,1757280,13.39,634,52.4,20,Health-drugs,3
604774,FALSE,ComputersComm,Southern New England,Mr. Daniel J Miglio,Philadelphia,PA,53,U of Penn-Whart,BS,62,21,,none,0,0,,,32,1,400934,180000,23840,,,0.008,1654,-53.9,3,Computerscommunications-telecommun,16
602369,FALSE,Food,Borden,Mr. Ervin R Shames,Des Moines,IA,53,U of Florida,BSB,62,21,Harvard,MBA,1,1,66,25,1,1,306818,200000,95551,,,0.021,5506,-575.6,-11,Fooddrinktobacco-food processors,2
600516,FALSE,Metals,Reynolds Metals,Mr. Richard G Holder,Paris,TN,62,Vanderbilt U,BA,53,21,,none,0,0,,,41,2,575000,,25516,,1913290,0.117,5269,-322.1,,Metals-nonferrous metals,5
600300,FALSE,Aerospacedefense,Teledyne,Mr. William P Rutledge,Pittston,PA,52,Lafayette C,BS,63,21,George Washingt,MS,0,1,67,25,8,3,600000,,300,,2560750,0.004,2492,72.8,-9,Aerospacedefense,11
600000,FALSE,Transport,Southern Pacific Rai,Mr. Edward L Moyers,Vicksburg,MS,65,Louisiana Tech,BS,55,26,,none,0,0,,,1,1,600000,,,,,0.00001,2919,-44.9,,Transport-railroad,7
599127,FALSE,Insurance,Geico,Mr. Louis A Simpson,Chicago,IL,57,Ohio Wesleyan U,BA,58,21,Princeton,AM,0,1,60,23,15,1,500000,,99127,,,0.505,2638,286.4,18,Insurance-propertycasualty,4
597437,FALSE,Forest,Bowater,Mr. Anthony P Gammie,England,,59,,,,,,none,0,0,,,39,11,575000,,22437,,3183910,0.129,1354,-64.5,-1,Forest products-paperlumber,9
595033,FALSE,Consumer,Polaroid,Mr. I MacAllisterBooth,Atlanta,GA,62,Cornell,BME,55,23,Cornell,MBA,1,1,58,26,36,8,525507,,69526,,3428480,0.023,2245,67.9,-1,Consumer nondurables-photographytoys,18
588929,FALSE,Utility,KU Energy,Mr. John T Newton,Shelbyville,KY,63,Western Kentuck,BS,52,21,,none,0,0,,,36,7,424237,144362,20330,,2322110,0.069,607,80,14,Electric utilities-southeast,19
587796,FALSE,Financial,Liberty National Ban,Mr. Malcolm B Chancey Jr,Louisville,KY,62,U of Louisville,BA,54,22,,none,0,0,,,26,1,414000,66240,107556,,,0.272,382,51.5,21,Financial services-regional banks,1
587170,FALSE,Utility,Wisconsin Energy,Mr. Richard A Abdoo,Port Huron,MI,50,U of Dayton,BSE,65,21,U of Detroit,MA,0,1,69,25,19,3,450000,122000,15170,,1899320,0.011,1644,188.5,14,Electric utilities-north central,19
586889,FALSE,Utility,Allegheny Power Syst,Mr. KlausBergman,Germany,,63,Columbia,AB,53,22,Columbia,LLB,0,1,55,24,22,9,460000,80000,46889,,2556480,0.008,2332,215.8,13,Electric utilities-northeast,19
583737,FALSE,Retailing,Revco DS,Mr. D DwayneHoven,Jackson,AL,52,Auburn U,BS,64,22,,none,0,0,,,7,1,394339,189398,,,,0.052,2420,30.5,42,Retailing-drugdiscount,6
583492,FALSE,Retailing,US Shoe,Mr. Bannus B Hudson,Fort Scott,KS,48,U of Kansas,BS,68,22,,none,0,0,,,9,4,580000,,3492,,2464730,0.107,2626,-15.8,2,Retailing-apparel,6
582856,FALSE,Energy,Fina,Mr. Ron W Haddock,St Elmo,IL,53,Purdue U,BS,63,22,,none,0,0,,,8,5,470188,80000,32668,,3386380,0.045,3416,70.4,3,Energy-other energy,12
580470,FALSE,Utility,Western Resources,Mr. John E Hayes Jr,Kansas City,MO,56,Rockhurst C,BS,59,21,,none,0,0,,,5,5,416666,85000,78804,,1871840,0.024,1909,177.4,13,Electric utilities-north central,19
579784,FALSE,Utility,Oklahoma GasElectr,Mr. James G Harlow Jr,Oklahoma City,OK,59,U of Oklahoma,BS,57,22,,none,0,0,,,33,18,500000,,79784,,2744340,0.107,1447,114.3,8,Electric utilities-south central,19
579034,FALSE,Capital goods,Parker Hannifin,Mr. Duane E Collins,Holcombe,WI,58,U of Wisc Madis,BSM,61,25,,none,0,0,,,33,1,430000,134349,14685,,,0.066,2492,64.5,8,Capital goods-other industrial equipment,14
575953,FALSE,Metals,Inland Steel Industr,Mr. Robert J Darnall,Bloomington,IL,56,DePauw U,BA,60,22,U of Chicago,MBA,1,1,73,35,32,2,548522,,27431,,,0.104,3888,-37.6,-5,Metals-steel,5
575472,FALSE,Food,Penn Traffic,Mr. Claude J Incaudo,Detroit,MI,60,,,,,,none,0,0,,,17,4,360500,214972,,,2218640,0.7,3172,8.2,18,Food distributors-supermarketsconvenience,2
575320,FALSE,Utility,Hawaiian Electric In,Mr. Robert F Clarke,Oakland,CA,52,U of Cal Berkel,BA,65,23,U of Cal Berkel,MBA,1,1,66,24,7,3,403800,160578,10942,,1989900,0.04,1142,48.7,8,Electric utilities-western,19
575211,FALSE,Financial,CSF Holdings,Mr. Charles B Stuzin,Miami,FL,52,U of Florida,BS,64,22,U of Miami,JD,0,1,67,25,20,12,375000,155000,45211,,3953330,28.936,342,58.2,34,Financial services-thrift institutions,1
574745,FALSE,Financial,Cullen/Frost Bankers,Mr. Thomas C Frost,San Antonio,TX,66,WashingtonLee,BS,50,22,,none,0,0,,,44,23,400000,,174745,,3302850,2.982,266,38.8,21,Financial services-regional banks,1
573803,FALSE,Entertainment,Washington Post,Mr. Donald E Graham,Baltimore,MD,49,Harvard,BA,66,21,,none,0,0,,,23,3,399996,,173807,,2297680,13.071,1498,153.8,4,Entertainmentinformation-publishing,17
572741,FALSE,ComputersComm,Molex,Mr. Frederick A Krehbiel,Hinsdale,IL,52,Lake Forest C,BA,63,21,,none,0,0,,,29,6,350444,50000,94537,77760,2686170,11.875,900,82.6,22,Computerscommunications-peripherals,16
