Total Comp,Top 20,Wide Industry,Company,CEO,City of Birth,State of Birth,Age,Undergrad,UG Degree,UG Date,AgeOfUnder,Graduate,Grad Degree,MBA?,MasterPhd?,G_date,AgeOfGradu,YearsFirm,YearsCEO,Salary,Bonus,other,St_gains,Comp for 5 yrs,Stock owned,Sales,Profits,Return over 5 yrs,Industry,Industry Code
1301160,FALSE,Financial,Mercantile Bancorpor,Mr. Thomas H Jacobsen,Chicago,IL,54,Lake Forest C,BS,63,23,U of Chicago,MBA,1,1,68,28,5,5,525300,392662,383197,,5446510,0.213,893,117,17,Financial services-regional banks,1
1298830,FALSE,Financial,Crestar Financial,Mr. Richard G Tilghman,Norfolk,VA,53,U of Virginia,BA,63,22,,none,0,0,,,27,9,535000,280000,65067,418760,3827390,0.165,1081,140.5,16,Financial services-regional banks,1
1298700,FALSE,Utility,Texas Utilities,Mr. Jerry S Farrington,Burkburnett,TX,59,U of North Texa,BBA,55,20,U of North Texa,MBA,1,1,58,23,37,7,743750,125000,429949,,4534830,0.007,5435,368.7,15,Electric utilities-south central,19
1296130,FALSE,Retailing,Intelligent Electron,Mr. Richard D Sanford,New York,NY,50,Hofstra U,BA,71,27,,none,0,0,,,12,12,748056,450000,98072,,4044910,11.394,2646,42.9,44,Retailing-consumer electronics,6
1294820,FALSE,Food,Giant Food,Mr. IsraelCohen,Israel,,81,,,,,,none,0,0,,,58,17,556600,690500,47723,,19577700,4.796,3567,95,-2,Food distributors-supermarketsconvenience,2
1291100,FALSE,Forest,Weyerhaeuser,Mr. John W Creighton Jr,Pittsburgh,PA,61,Ohio State U,BS,54,21,Ohio State U,JD,0,1,57,24,24,3,682740,430000,6296,172064,2923030,0.021,9545,527.3,15,Forest products-paperlumber,9
1287100,FALSE,Energy,Ashland Oil,Mr. John R Hall,Dallas,TX,61,Vanderbilt U,BS,55,22,,none,0,0,,,36,13,752416,458059,76629,,7224740,0.077,9528,175.9,3,Energy-other energy,12
1286970,FALSE,Health,Genentech,Mr. G KirkRaab,New York,NY,58,Colgate U,BA,59,23,,none,0,0,,,9,4,745000,300000,241968,,12680000,0.014,608,58.9,20,Health-biotechnology,3
1286140,FALSE,Food,Kroger,Mr. Joseph A Pichler,St Louis,MO,54,U of Notre Dame,BA,61,21,U of Chicago,PhD,0,1,66,26,14,4,416923,582343,286876,,3705520,0.197,22384,170.8,18,Food distributors-supermarketsconvenience,2
1279980,FALSE,Utility,Southern Co,Mr. Edward L Addison,Cottageville,SC,64,U of S Carolina,BEE,50,20,,none,0,0,,,40,11,734714,148118,397150,,5230240,0.012,8489,1002,18,Electric utilities-southeast,19
1271950,FALSE,Utility,LGE Energy,Mr. Roger W Hale,Baltimore,MD,50,U of Maryland,BA,65,21,MIT,MS,0,1,79,35,5,5,385000,261800,625145,,3946640,0.052,900,88.3,19,Electric utilities-southeast,19
1268280,FALSE,Chemicals,Witco,Mr. William R Toller,Fort Smith,AR,63,U of Arkansas,BA,56,25,,none,0,0,,,10,4,545000,364100,14643,344538,3845020,0.085,2143,19.8,16,Chemicals-specialized,15
1264220,FALSE,Business,Manpower,Mr. Mitchell S Fromstein,Milwaukee,WI,66,,,,,,none,0,0,,,18,18,860000,400463,3758,,5954810,0.324,3180,-48.9,10,Business-services,13
1263390,FALSE,Energy,Consolidated Natural,Mr. George A Davidson Jr,Pittsburgh,PA,55,U of Pittsburgh,BS,60,21,,none,0,0,,,28,7,511100,280400,284819,187067,4469670,0.048,3184,188.5,4,Energy-integrated gas,12
1255470,FALSE,Utility,Washington Water Pow,Mr. Paul A Redmond,Lakeview,OR,57,Gonzaga U,BS,65,28,,none,0,0,,,29,10,484167,286815,484486,,3081380,0.075,641,82.8,14,Electric utilities-western,19
1254460,FALSE,Food,Great AtlanticPaci,Mr. JamesWood,England,,64,Loughborough C,CB,55,25,,none,0,0,,,14,14,1090150,28250,136060,,30193400,0.029,10384,4,-11,Food distributors-supermarketsconvenience,2
1247690,FALSE,Financial,First Financial Corp,Mr. John C Seramur,Milwaukee,WI,51,Marquette U,BS,65,22,,none,0,0,,,28,28,600000,260000,217794,169894,4106010,2.752,378,45.2,36,Financial services-regional banks,1
1246560,FALSE,Entertainment,New York Times,Mr. ArthurOchs Sulzberg,New York,NY,68,Columbia,BA,51,25,,none,0,0,,,43,21,515000,384560,21985,325015,5303620,6.723,2020,6.1,3,Entertainmentinformation-publishing,17
1244110,FALSE,Entertainment,Turner Broadcasting,Mr. Robert E Turner,Cincinnati,OH,55,,,,,,none,0,0,,,31,31,765554,341921,136631,,4402470,45.551,1922,72.4,22,Entertainmentinformation-broadcasting,17
