Rank;Company;Previous Rank;Revenues ($M);Profits ($M);Assets ($M);Market Value ($M);Employees;CEO;CEO Title;CEO Gender;Sector;Industry;Years on Fortune 500 List;City;State;Latitude;Longitude
197;CBS;193;14710;357;20843;19668;14715;Leslie Moonves;Chairman, President &  Chief Executive Officer;Male;Media;Entertainment;24;New York;NY;40.7127753;-74.0059728
198;Envision Healthcare;538;14701;-228;16573;4647;57750;Christopher A. Holden;;Male;Health Care;Health Care: Pharmacy and Other Services;1;Nashville;TN;36.1626638;-86.7816016
199;Monsanto;204;14640;2260;21333;51444;21900;Hugh Grant;Chairman &  Chief Executive Officer;Male;Chemicals;Chemicals;15;St. Louis;MO;38.6270025;-90.1994042
200;Aramark;192;14604;373.9;11006;9725;215000;Eric J. Foss;Chairman, President &  Chief Executive Officer;Male;Business Services;Diversified Outsourcing Services;24;Philadelphia;PA;39.9525839;-75.1652215
201;Applied Materials;265;14537;3434;19419;58429;18400;Gary E. Dickerson;President, Chief Executive Officer &  Director;Male;Technology;Semiconductors and Other Electronic Components;23;Santa Clara;CA;37.3541079;-121.9552356
202;Waste Management;201;14485;1949;21829;36372;42300;James C. Fish Jr.;President, Chief Executive Officer &  Director;Male;Business Services;Waste Management;20;Houston;TX;29.7604267;-95.3698028
203;DISH Network;186;14391;2098.7;29774;17682;17000;W. Erik Carlson;President, Chief Executive Officer &  Director;Male;Telecommunications;Telecommunications;17;Englewood;CO;39.6477653;-104.9877597
204;Illinois Tool Works;202;14314;1687;16780;53142;50000;E. Scott Santi;Chairman, President &  Chief Executive Officer;Male;Industrials;Industrial Machinery;24;Glenview;IL;42.0697509;-87.7878408
205;Lincoln National;207;14257;2079;281763;15946;9047;Dennis R. Glass;President, Chief Executive Officer &  Director;Male;Financials;Insurance: Life, Health (stock);24;Wayne;PA;40.0462208;-75.3599105
206;HollyFrontier;274;14251;805.4;10692;8650;3522;George J. Damiris;President, Chief Executive Officer &  Director;Male;Energy;Petroleum Refining;11;Dallas;TX;32.7766642;-96.7969879
207;CBRE Group;214;14210;691.5;11484;16042;80000;Robert E. Sulentic;President, Chief Executive Officer &  Director;Male;Financials;Real estate;11;Los Angeles;CA;34.0522342;-118.2436849
208;Textron;200;14198;307;15340;15293;37000;Scott C. Donnelly;Chairman, President &  Chief Executive Officer;Male;Aerospace &  Defense;Aerospace and Defense;24;Providence;RI;41.8239891;-71.4128343
209;Ross Stores;219;14135;1362.8;5722;29800;82700;Barbara Rentler;Chairman &  Chief Executive Officer;Female;Retailing;Specialty Retailers: Apparel;16;Dublin;CA;37.7021521;-121.9357918
210;Principal Financial;227;14093;2310.4;253941;17643;15378;Daniel J. Houston;Chairman, President &  Chief Executive Officer;Male;Financials;Insurance: Life, Health (stock);24;Des Moines;IA;41.6005448;-93.6091064
211;D.R. Horton;232;14091;1038.4;12185;16480;7735;David V. Auld;President, Chief Executive Officer &  Director;Male;Engineering &  Construction;Homebuilders;16;Arlington;TX;32.735687;-97.1080656
