Rank;Company;Previous Rank;Revenues ($M);Profits ($M);Assets ($M);Market Value ($M);Employees;CEO;CEO Title;CEO Gender;Sector;Industry;Years on Fortune 500 List;City;State;Latitude;Longitude
111;Abbott Laboratories;135;27390;477;76250;104640;99000;Miles D. White;Chairman &  Chief Executive Officer;Male;Health Care;Medical Products and Equipment;24;Lake Bluff;IL;42.304505;-87.8960712
112;Progressive;120;26839;1592.2;38701;35478;33656;Susan Patricia Griffith;President, Chief Executive Officer &  Director;Female;Financials;Insurance: Property and Casualty (Stock);24;Mayfield;OH;41.5519952;-81.4392828
113;Arrow Electronics;118;26813;402;16463;6750;18800;Michael J. Long;Chairman, President &  Chief Executive Officer;Male;Wholesalers;;24;Centennial;CO;39.5807452;-104.8771726
114;Kraft Heinz;106;26232;10999;120232;75920;39000;Bernardo Hees;Chief Executive Officer;Male;Food, Beverages &  Tobacco;;24;Pittsburgh;PA;40.4406248;-79.9958864
115;Plains GP Holdings;141;26223;-731;26753;6328;4850;Greg L. Armstrong;Chairman &  Chief Executive Officer;Male;Energy;Pipelines;5;Houston;TX;29.7604267;-95.3698028
116;Gilead Sciences;92;26107;4628;70283;98298;10000;John F. Milligan IV;President, Chief Executive Officer &  Director;Male;Health Care;Pharmaceuticals;10;San Mateo;CA;37.5585465;-122.2710788
117;Mondelez International;109;25896;2922;63109;62066;83000;Dirk Van de Put;Chairman &  Chief Executive Officer;Male;Food, Beverages &  Tobacco;Food Consumer Products;11;Deerfield;IL;42.1711365;-87.8445119
118;Northrop Grumman;114;25803;2015;34917;60778;70000;Wesley G. Bush;Chairman &  Chief Executive Officer;Male;Aerospace &  Defense;Aerospace and Defense;24;Falls Church;VA;38.882334;-77.1710914
119;Raytheon;116;25348;2024;30860;62265;64000;Thomas A. Kennedy;Chairman &  Chief Executive Officer;Male;Aerospace &  Defense;Aerospace and Defense;24;Waltham;MA;42.3764852;-71.2356113
120;Macys;110;24837;1547;19381;9065;130000;Jeffrey Gennette;Chairman &  Chief Executive Officer;Male;Retailing;General Merchandisers;24;Cincinnati;OH;39.1031182;-84.5120196
121;US Foods Holding;124;24147;444.3;9037;7065;25204;Pietro Satriano;Chairman, President &  Chief Executive Officer;Male;Wholesalers;Wholesalers: Food and Grocery;7;Rosemont;IL;41.9867507;-87.8721602
122;U.S. Bancorp;125;23996;6218;462040;83367;72402;Andrew J. Cecere;President, Chief Executive Officer &  Director;Male;Financials;Commercial Banks;20;Minneapolis;MN;44.977753;-93.2650108
123;Dollar General;128;23471;1539;12517;25141;129000;Todd J. Vasos;Chairman &  Chief Executive Officer;Male;Retailing;Specialty Retailers: Other;20;Goodlettsville;TN;36.3231066;-86.7133302
124;International Paper;133;23302;2144;33903;22063;56000;Mark S. Sutton;Chairman &  Chief Executive Officer;Male;Materials;Packaging, Containers;24;Memphis;TN;35.1495343;-90.0489801
125;Duke Energy;121;23189;3059;137914;54276;29060;Lynn J. Good;Chairman, President &  Chief Executive Officer;Female;Energy;Utilities: Gas and Electric;24;Charlotte;NC;35.2270869;-80.8431267
126;Southern;145;23031;842;111005;45024;31344;Thomas A. Fanning;Chairman, President &  Chief Executive Officer;Male;Energy;Utilities: Gas and Electric;24;Atlanta;GA;33.7489954;-84.3879824
127;Marriott International;163;22894;1372;23948;48531;177000;Arne M. Sorenson;President, Chief Executive Officer &  Director;Male;Hotels, Restaurants &  Leisure;Hotels, Casinos, Resorts;20;Bethesda;MD;38.984652;-77.0947092
128;Avnet;108;22872;525.3;9700;5009;15700;William J. Amelio;Chief Executive Officer &  Director;Male;Wholesalers;Wholesalers: Electronics and Office Equipment;24;Phoenix;AZ;33.4483771;-112.0740373
129;Eli Lilly;132;22871;-204.1;44981;84542;40655;David A. Ricks;Chairman, President &  Chief Executive Officer;Male;Health Care;Pharmaceuticals;24;Indianapolis;IN;39.768403;-86.158068
130;Amgen;123;22849;1979;79954;122842;20800;Robert A. Bradway;Chairman, President &  Chief Executive Officer;Male;Health Care;Pharmaceuticals;19;Thousand Oaks;CA;34.1705609;-118.8375937
131;McDonalds;112;22820;5192.3;33804;124244;235000;Stephen J. Easterbrook;President, Chief Executive Officer &  Director;Male;Hotels, Restaurants &  Leisure;Food Services;24;Oak Brook;IL;41.8397865;-87.9535534
132;Starbucks;131;22387;2884.7;14366;81370;277000;Keven R. Johnson;President, Chief Executive Officer &  Director;Male;Hotels, Restaurants &  Leisure;Food Services;16;Seattle;WA;47.6062095;-122.3320708
133;Qualcomm;119;22291;2466;65486;82027;33800;Steven M. Mollenkopf;Chairman &  Chief Executive Officer;Male;Technology;Semiconductors and Other Electronic Components;19;San Diego;CA;32.715738;-117.1610838
134;Dollar Tree;136;22246;1714.3;16333;22523;116200;Gary M. Philbin;President, Chief Executive Officer &  Director;Male;Retailing;Specialty Retailers: Other;10;Chesapeake;VA;36.7682088;-76.2874927
135;PBF Energy;172;21787;415.5;8118;3752;3165;Thomas J. Nimbley;Chairman &  Chief Executive Officer;Male;Energy;Petroleum Refining;6;Parsippany-Troy Hills;NJ;40.8652865;-74.4173877
136;Icahn Enterprises;168;21744;2430;31801;9901;89034;Keith Cozza;President, Chief Executive Officer &  Director;Male;Financials;Diversified Financials;10;New York;NY;40.7127753;-74.0059728
137;Aflac;126;21667;4604;137217;34038;11318;Daniel P. Amos;Chairman, President &  Chief Executive Officer;Male;Financials;Insurance: Life, Health (stock);24;Columbus;GA;32.4609764;-84.9877094
138;AutoNation;129;21535;434.6;10272;4296;26000;Michael J. Jackson;Chairman, President &  Chief Executive Officer;Male;Retailing;Automotive Retailing, Services;21;Fort Lauderdale;FL;26.1224386;-80.1373174
139;Penske Automotive Group;142;21389;613.3;10541;3817;26000;Roger S. Penske;Chairman &  Chief Executive Officer;Male;Retailing;Automotive Retailing, Services;20;Bloomfield Hills;MI;42.583645;-83.2454883
140;Whirlpool;137;21253;350;20038;10824;92000;Marc R. Bitzer;President, Chief Executive Officer &  Director;Male;Industrials;Electronics, Electrical Equip.;24;Benton Harbor;MI;42.1167065;-86.4541894
141;Union Pacific;143;21240;10712;57806;104261;41992;Lance M. Fritz;Chairman, President &  Chief Executive Officer;Male;Transportation;Railroads;24;Omaha;NE;41.2565369;-95.9345034
142;Southwest Airlines;138;21171;3488;25110;33678;56110;Gary C. Kelly;Chairman &  Chief Executive Officer;Male;Transportation;Airlines;24;Dallas;TX;32.7766642;-96.7969879
143;ManpowerGroup;146;21034;545.4;8884;7614;29000;Jonas Prising;Chairman &  Chief Executive Officer;Male;Business Services;Temporary Help;24;Milwaukee;WI;43.0389025;-87.9064736
144;Thermo Fisher Scientific;154;20918;2225;56669;82952;66100;Marc N. Casper;President, Chief Executive Officer &  Director;Male;Technology;Scientific,Photographic and  Control Equipment;16;Waltham;MA;42.3764852;-71.2356113
145;Bristol-Myers Squibb;147;20776;1007;33551;103415;23700;Giovanni Caforio;Chairman &  Chief Executive Officer;Male;Health Care;Pharmaceuticals;24;New York;NY;40.7127753;-74.0059728
146;Halliburton;173;20620;-463;25085;41068;55000;Jeffrey A. Miller;President, Chief Executive Officer &  Director;Male;Energy;Oil and Gas Equipment, Services;24;Houston;TX;29.7604267;-95.3698028
147;Tenet Healthcare;134;20613;-704;23385;2452;111980;Ronald A. Rittenmeyer;Chairman &  Chief Executive Officer;Male;Health Care;Health Care: Medical Facilities;24;Dallas;TX;32.7766642;-96.7969879
148;Lear;151;20467;1313.4;11946;12453;165000;Raymond E. Scott;President, Chief Executive Officer &  Director;Male;Motor Vehicles &  Parts;Motor Vehicles and Parts;24;Southfield;MI;42.4733688;-83.2218731
149;Cummins;159;20428;999;18075;26757;58600;N. Thomas Linebarger;Chairman &  Chief Executive Officer;Male;Industrials;Industrial Machinery;24;Columbus;IN;39.2014404;-85.9213796
150;Micron Technology;226;20322;5089;35336;60470;34100;Sanjay Mehrotra;President, Chief Executive Officer &  Director;Male;Technology;Semiconductors and Other Electronic Components;21;Boise;ID;43.6150186;-116.2023137
151;Nucor;169;20252;1318.7;15841;19432;25100;John J. Ferriola;Chairman, President &  Chief Executive Officer;Male;Materials;Metals;24;Charlotte;NC;35.2270869;-80.8431267
152;Molina Healthcare;156;19883;-512;8471;4867;20000;Joseph M. Zubretsky;President, Chief Executive Officer &  Director;Male;Health Care;Health Care: Insurance and Managed Care;7;Long Beach;CA;33.7700504;-118.1937395
153;Fluor;149;19521;191.4;9328;8006;56706;David T. Seaton;Chairman &  Chief Executive Officer;Male;Engineering &  Construction;Engineering, Construction;17;Irving;TX;32.8140177;-96.9488945
154;Altria Group;148;19494;10222;43202;118436;8300;Howard A. Willard III;Chairman &  Chief Executive Officer;Male;Food, Beverages &  Tobacco;Tobacco;24;Richmond;VA;37.5407246;-77.4360481
155;Paccar;164;19456;1675.2;23440;23298;25000;Ronald E. Armstrong;Chairman &  Chief Executive Officer;Male;Industrials;Construction and Farm Machinery;24;Bellevue;WA;47.6101497;-122.2015159
156;Hartford Financial Services;153;19228;-3131;225260;18392;16400;Christopher J. Swift;Chairman &  Chief Executive Officer;Male;Financials;Insurance: Property and Casualty (Stock);23;Hartford;CT;41.7658043;-72.6733723
157;Kohls;150;19095;859;13340;11021;85000;Michelle D. Gass;Chairman &  Chief Executive Officer;Female;Retailing;General Merchandisers;21;Menomonee Falls;WI;43.1788967;-88.1173132
158;Western Digital;217;19093;397;29860;27456;67629;Stephen D. Milligan;Chairman &  Chief Executive Officer;Male;Technology;Computers, Office Equipment;15;San Jose;CA;37.3382082;-121.8863286
159;Jabil;152;19063.1;129.1;11096;5035;170000;Mark T. Mondello;Chairman &  Chief Executive Officer;Male;Technology;Semiconductors and Other Electronic Components;17;St. Petersburg;FL;27.7676008;-82.6402915
160;Community Health Systems;130;18477;-2459;17450;454;86000;Wayne T. Smith;Chairman &  Chief Executive Officer;Male;Health Care;Health Care: Medical Facilities;12;Franklin;TN;35.9250637;-86.8688899
161;Visa;187;18358;6699;67977;270222;15000;Alfred F. Kelly Jr.;Chairman &  Chief Executive Officer;Male;Business Services;Financial Data Services;10;SF;CA;37.7749295;-122.4194155
162;Danaher;144;18330;2492.1;46649;68385;67000;Thomas P. Joyce Jr.;President, Chief Executive Officer &  Director;Male;Health Care;Medical Products and Equipment;20;Leavenworth;WA;47.7510741;-120.7401385
163;Kimberly-Clark;155;18259;2278;15151;38553;42000;Thomas J. Falk;Chairman &  Chief Executive Officer;Male;Household Products;Household and Personal Products;24;Irving;TX;32.8140177;-96.9488945
164;AECOM;161;18203;339.4;14397;5671;87000;Michael S. Burke;Chairman &  Chief Executive Officer;Male;Engineering &  Construction;Engineering, Construction;10;Los Angeles;CA;34.0522342;-118.2436849
165;PNC Financial Services;166;18035;5338;380768;71323;51632;William S. Demchak;Chairman, President &  Chief Executive Officer;Male;Financials;Commercial Banks;24;Pittsburgh;PA;40.4406248;-79.9958864
166;CenturyLink;160;17656;1389;75611;17578;51000;Jeffrey K. Storey;President, Chief Executive Officer &  Director;Male;Telecommunications;Telecommunications;9;Monroe;LA;32.5093109;-92.1193012
167;NextEra Energy;170;17195;5378;97827;76895;14000;James L. Robo;Chairman, President &  Chief Executive Officer;Male;Energy;Utilities: Gas and Electric;24;North Palm Beach;FL;26.8797819;-80.0533743
168;PG& E Corp.;157;17135;1646;68012;22664;23000;Geisha J. Williams;President, Chief Executive Officer &  Director;Female;Energy;Utilities: Gas and Electric;24;SF;CA;37.7749295;-122.4194155
169;Synnex;198;17046;301.2;7699;4702;113600;Dennis Polk;President, Chief Executive Officer &  Director;Male;Wholesalers;Wholesalers: Electronics and Office Equipment;12;Fremont;CA;37.5482697;-121.9885719
170;WellCare Health Plans;195;17007;373.7;8365;8622;8900;Kenneth A. Burdick;Chairman &  Chief Executive Officer;Male;Health Care;Health Care: Insurance and Managed Care;10;Tampa;FL;27.950575;-82.4571776
171;Performance Food Group;171;16762;96.3;3804;3104;14000;George L. Holm;President, Chief Executive Officer &  Director;Male;Wholesalers;Wholesalers: Food and Grocery;10;Richmond;VA;37.5407246;-77.4360481
172;Sears Holdings;127;16702;-383;7262;288;89000;Edward S. Lampert;Chairman &  Chief Executive Officer;Male;Retailing;General Merchandisers;24;Hoffman Estates;IL;42.0629915;-88.1227199
173;Synchrony Financial;185;16695;1935;95808;25490;16000;Margaret M. Keane;President, Chief Executive Officer &  Director;Female;Financials;Diversified Financials;2;Stamford;CT;41.0534302;-73.5387341
174;CarMax;174;16637;627;16279;11202;24344;William D. Nash;President, Chief Executive Officer &  Director;Male;Retailing;Automotive Retailing, Services;15;Richmond;VA;37.5407246;-77.4360481
175;Bank of New York Mellon;177;16621;4090;371758;51919;52500;Charles W. Scharf;Chairman &  Chief Executive Officer;Male;Financials;Commercial Banks;24;New York City;NY;40.7127753;-74.0059728
176;Freeport-McMoRan;175;16416;1817;37302;25439;25200;Richard C. Adkerson;Vice Chairman, President &  Chief Executive Officer;Male;Energy;Mining, Crude-Oil Production;13;Phoenix;AZ;33.4483771;-112.0740373
177;Genuine Parts;180;16309;616.8;12412;13183;48000;Paul D. Donahue;President, Chief Executive Officer &  Director;Male;Wholesalers;Wholesalers: Diversified;24;Atlanta;GA;33.7489954;-84.3879824
178;Emerson Electric;139;16301;1518;19589;43359;76500;David N. Farr;Chairman &  Chief Executive Officer;Male;Industrials;Industrial Machinery;24;St. Louis;MO;38.6270025;-90.1994042
179;DaVita;181;16038;663.6;18948;12001;74500;Kent J. Thiry;Chairman &  Chief Executive Officer;Male;Health Care;Health Care: Medical Facilities;12;Denver;CO;39.7392358;-104.990251
180;Supervalu;158;16009;650;3580;585;29000;Mark Gross;President, Chief Executive Officer &  Director;Male;Food &  Drug Stores;Food and Drug Stores;24;Eden Prairie;MN;44.8546856;-93.470786
181;Gap;178;15855;848;7989;12147;135000;Arthur L. Peck;President, Chief Executive Officer &  Director;Male;Retailing;Specialty Retailers: Apparel;24;SF;CA;37.7749295;-122.4194155
182;General Mills;165;15620;1657.5;21813;26716;38000;Jeffrey L. Harmening;Chairman &  Chief Executive Officer;Male;Food, Beverages &  Tobacco;Food Consumer Products;24;Minneapolis;MN;44.977753;-93.2650108
183;Nordstrom;188;15478;437;8115;8123;76000;Blake W. Nordstrom;Co-President &  Director;Male;Retailing;General Merchandisers;24;Seattle;WA;47.6062095;-122.3320708
184;Colgate-Palmolive;182;15454;2024;12676;62607;35900;Ian M. Cook;Chairman, President &  Chief Executive Officer;Male;Household Products;Household and Personal Products;24;New York;NY;40.7127753;-74.0059728
185;American Electric Power;167;15425;1912.6;64729;33766;17666;Nicholas K. Akins;Chairman, President &  Chief Executive Officer;Male;Energy;Utilities: Gas and Electric;24;Columbus;OH;39.9611755;-82.9987942
186;XPO Logistics;191;15381;340.2;12602;12210;95000;Bradley S. Jacobs;Chairman &  Chief Executive Officer;Male;Transportation;Transportation and Logistics;3;Greenwich;CT;41.0262417;-73.6281964
187;Goodyear Tire & Rubber;184;15377;346;17064;6392;64000;Richard J. Kramer;Chairman, President &  Chief Executive Officer;Male;Motor Vehicles &  Parts;Motor Vehicles and Parts;24;Akron;OH;41.0814447;-81.5190053
188;Omnicom Group;179;15274;1088.4;24931;16734;77300;John D. Wren;President, Chief Executive Officer &  Director;Male;Business Services;Advertising, marketing;22;New York;NY;40.7127753;-74.0059728
189;CDW;199;15192;523;6957;10717;8726;Thomas E. Richards;Chairman, President &  Chief Executive Officer;Male;Technology;Information Technology Services;14;Lincolnshire;IL;42.1900249;-87.9084039
190;Sherwin-Williams;236;14984;1772.3;19958;36899;52695;John G. Morikis;Chairman, President &  Chief Executive Officer;Male;Chemicals;Chemicals;24;Cleveland;OH;41.49932;-81.6943605
191;PPG Industries;183;14967;1591;16538;27824;47200;Michael H. McGarry;Chairman &  Chief Executive Officer;Male;Chemicals;Chemicals;24;Pittsburgh;PA;40.4406248;-79.9958864
192;Texas Instruments;206;14961;3682;17642;102135;29714;Brian T. Crutcher;Chairman, President &  Chief Executive Officer;Male;;Semiconductors and Other Electronic Components;24;Dallas;TX;32.7766642;-96.7969879
193;C.H. Robinson Worldwide;212;14869;504.9;4236;13153;15074;John P. Wiehoff;Chairman, President &  Chief Executive Officer;Male;Transportation;Transportation and Logistics;17;Eden Prairie;MN;44.8546856;-93.470786
194;WestRock;190;14860;708.2;25089;16372;44800;Steven C. Voorhees;President, Chief Executive Officer &  Director;Male;Materials;Packaging, Containers;7;Atlanta;GA;33.7489954;-84.3879824
195;Cognizant Technology Solutions;205;14810;1504;15221;47338;260000;Francisco D'Souza;Chairman &  Chief Executive Officer;Male;Technology;Information Technology Services;8;Teaneck;NJ;40.8932469;-74.0116536
196;Newell Brands;208;14742;2748.8;33136;12363;49000;Michael B. Polk;Chairman &  Chief Executive Officer;Male;Household Products;Home Equipment, Furnishings;23;Hoboken;NJ;40.7439905;-74.0323626
